Sequence,Volt
611,2.40E+01
612,2.42E+01
613,2.42E+01
614,2.26E+01
615,2.26E+01
616,2.28E+01
617,2.28E+01
618,2.20E+01
619,2.20E+01
620,2.20E+01
621,2.20E+01
622,2.18E+01
623,2.18E+01
624,2.20E+01
625,2.20E+01
626,2.18E+01
627,2.18E+01
628,2.16E+01
629,2.16E+01
630,2.16E+01
631,2.16E+01
632,2.14E+01
633,2.14E+01
634,2.18E+01
635,2.18E+01
636,2.18E+01
637,2.18E+01
638,2.16E+01
639,2.16E+01
640,2.16E+01
641,2.16E+01
642,2.16E+01
643,2.16E+01
644,2.16E+01
645,2.16E+01
646,2.14E+01
647,2.14E+01
648,2.16E+01
649,2.16E+01
650,2.14E+01
651,2.14E+01
652,2.14E+01
653,2.14E+01
654,2.12E+01
655,2.12E+01
656,2.14E+01
657,2.14E+01
658,2.14E+01
659,2.14E+01
660,2.16E+01
661,2.16E+01
662,2.16E+01
663,2.16E+01
664,2.14E+01
665,2.14E+01
666,2.18E+01
667,2.18E+01
668,2.16E+01
669,2.16E+01
670,2.24E+01
671,2.24E+01
672,2.22E+01
673,2.22E+01
674,2.20E+01
675,2.20E+01
676,2.20E+01
677,2.20E+01
678,2.14E+01
679,2.14E+01
680,2.14E+01
681,2.14E+01
682,2.14E+01
683,2.14E+01
684,2.16E+01
685,2.16E+01
686,2.84E+01
687,2.84E+01
688,2.82E+01
689,2.82E+01
690,2.32E+01
691,2.32E+01
692,2.32E+01
693,2.32E+01
694,2.16E+01
695,2.16E+01
696,2.18E+01
697,2.18E+01
698,2.14E+01
699,2.14E+01
700,2.14E+01
701,2.14E+01
702,2.14E+01
703,2.14E+01
704,2.12E+01
705,2.12E+01
706,2.14E+01
707,2.14E+01
708,2.12E+01
709,2.12E+01
710,2.16E+01
711,2.16E+01
712,2.18E+01
713,2.18E+01
714,2.22E+01
715,2.22E+01
716,2.20E+01
717,2.20E+01
718,2.38E+01
719,2.38E+01
720,2.38E+01
721,2.38E+01
722,2.40E+01
723,2.40E+01
724,2.40E+01
725,2.40E+01
726,2.18E+01
727,2.18E+01
728,2.20E+01
729,2.20E+01
730,2.10E+01
731,2.10E+01
732,2.10E+01
733,2.10E+01
734,2.08E+01
735,2.08E+01
736,2.10E+01
737,2.10E+01
738,2.10E+01
739,2.10E+01
740,2.08E+01
741,2.08E+01
742,2.06E+01
743,2.06E+01
744,2.06E+01
745,2.06E+01
746,2.08E+01
747,2.08E+01
748,2.08E+01
749,2.08E+01
750,2.08E+01
751,2.08E+01
752,2.10E+01
753,2.10E+01
754,2.08E+01
755,2.08E+01
756,2.08E+01
757,2.08E+01
758,2.08E+01
759,2.08E+01
760,2.06E+01
761,2.06E+01
762,2.06E+01
763,2.06E+01
764,2.06E+01
765,2.06E+01
766,2.00E+01
767,2.00E+01
768,2.02E+01
769,2.02E+01
770,2.02E+01
771,2.02E+01
772,2.02E+01
773,2.02E+01
774,2.02E+01
775,2.02E+01
776,2.02E+01
777,2.02E+01
778,2.04E+01
779,2.04E+01
780,2.04E+01
781,2.04E+01
782,2.08E+01
783,2.08E+01
784,2.08E+01
785,2.08E+01
786,2.12E+01
787,2.12E+01
788,2.10E+01
789,2.10E+01
790,2.00E+01
791,2.00E+01
792,2.00E+01
793,2.00E+01
794,1.96E+01
795,1.96E+01
796,1.96E+01
797,1.96E+01
798,2.18E+01
799,2.18E+01
800,2.18E+01
801,2.18E+01
802,2.52E+01
803,2.52E+01
804,2.52E+01
805,2.52E+01
806,2.08E+01
807,2.08E+01
808,2.08E+01
809,2.08E+01
810,2.02E+01
811,2.02E+01
812,2.04E+01
813,2.04E+01
814,2.04E+01
815,2.04E+01
816,2.04E+01
817,2.04E+01
818,2.06E+01
819,2.06E+01
820,2.06E+01
821,2.06E+01
822,2.04E+01
823,2.04E+01
824,2.04E+01
825,2.04E+01
826,2.06E+01
