Sequence,Volt
721,1.64E+01
722,1.64E+01
723,1.64E+01
724,1.64E+01
725,1.64E+01
726,1.64E+01
727,1.64E+01
728,1.64E+01
729,1.64E+01
730,1.70E+01
731,1.70E+01
732,1.68E+01
733,1.68E+01
734,1.72E+01
735,1.72E+01
736,1.72E+01
737,1.72E+01
738,1.70E+01
739,1.70E+01
740,1.70E+01
741,1.70E+01
742,1.68E+01
743,1.68E+01
744,1.68E+01
745,1.68E+01
746,1.66E+01
747,1.66E+01
748,1.66E+01
749,1.66E+01
750,1.64E+01
751,1.64E+01
752,1.64E+01
753,1.64E+01
754,1.64E+01
755,1.64E+01
756,1.64E+01
757,1.64E+01
758,1.64E+01
759,1.64E+01
760,1.64E+01
761,1.64E+01
762,1.64E+01
763,1.64E+01
764,1.64E+01
765,1.64E+01
766,1.64E+01
767,1.64E+01
768,1.64E+01
769,1.64E+01
770,1.62E+01
771,1.62E+01
772,1.62E+01
773,1.62E+01
774,1.62E+01
775,1.62E+01
776,1.62E+01
777,1.62E+01
778,1.62E+01
779,1.62E+01
780,1.62E+01
781,1.62E+01
782,1.62E+01
783,1.62E+01
784,1.62E+01
785,1.62E+01
786,1.62E+01
787,1.62E+01
788,1.62E+01
789,1.62E+01
790,1.62E+01
791,1.62E+01
792,1.62E+01
793,1.62E+01
794,1.62E+01
795,1.62E+01
796,1.62E+01
797,1.62E+01
798,1.68E+01
799,1.68E+01
800,1.70E+01
801,1.70E+01
802,1.68E+01
803,1.68E+01
804,1.68E+01
805,1.68E+01
806,1.64E+01
807,1.64E+01
808,1.64E+01
809,1.64E+01
810,1.60E+01
811,1.60E+01
812,1.60E+01
813,1.60E+01
814,1.68E+01
815,1.68E+01
816,1.70E+01
817,1.70E+01
818,1.62E+01
819,1.62E+01
820,1.62E+01
821,1.62E+01
822,1.62E+01
823,1.62E+01
824,1.62E+01
825,1.62E+01
826,1.62E+01
827,1.62E+01
828,1.62E+01
829,1.62E+01
830,1.60E+01
831,1.60E+01
832,1.60E+01
833,1.60E+01
834,1.62E+01
835,1.62E+01
836,1.62E+01
837,1.62E+01
838,1.66E+01
839,1.66E+01
840,1.66E+01
841,1.66E+01
842,1.64E+01
843,1.64E+01
844,1.64E+01
845,1.64E+01
846,1.62E+01
847,1.62E+01
848,1.62E+01
849,1.62E+01
850,1.62E+01
851,1.62E+01
852,1.62E+01
853,1.62E+01
854,1.64E+01
855,1.64E+01
856,1.64E+01
857,1.64E+01
858,1.70E+01
859,1.70E+01
860,1.68E+01
861,1.68E+01
862,1.70E+01
863,1.70E+01
864,1.70E+01
865,1.70E+01
866,1.64E+01
867,1.64E+01
868,1.64E+01
869,1.64E+01
870,1.62E+01
871,1.62E+01
872,1.62E+01
873,1.62E+01
874,1.62E+01
875,1.62E+01
876,1.62E+01
877,1.62E+01
878,1.64E+01
879,1.64E+01
880,1.64E+01
881,1.64E+01
882,1.62E+01
883,1.62E+01
884,1.62E+01
885,1.62E+01
886,1.62E+01
887,1.62E+01
888,1.62E+01
889,1.62E+01
890,1.62E+01
891,1.62E+01
892,1.64E+01
893,1.64E+01
894,1.62E+01
895,1.62E+01
896,1.62E+01
897,1.62E+01
