Sequence,Volt,
775,1.60e+01,
776,1.60e+01,
777,1.60e+01,
778,1.54e+01,
779,1.54e+01,
780,1.54e+01,
781,1.54e+01,
782,1.54e+01,
783,1.54e+01,
784,1.54e+01,
785,1.54e+01,
786,1.62e+01,
787,1.62e+01,
788,1.62e+01,
789,1.62e+01,
790,1.68e+01,
791,1.68e+01,
792,1.66e+01,
793,1.66e+01,
794,1.64e+01,
795,1.64e+01,
796,1.64e+01,
797,1.64e+01,
798,1.68e+01,
799,1.68e+01,
800,1.68e+01,
801,1.68e+01,
802,1.66e+01,
803,1.66e+01,
804,1.66e+01,
805,1.66e+01,
806,1.68e+01,
807,1.68e+01,
808,1.68e+01,
809,1.68e+01,
810,1.66e+01,
811,1.66e+01,
812,1.66e+01,
813,1.66e+01,
814,1.64e+01,
815,1.64e+01,
816,1.64e+01,
817,1.64e+01,
818,1.64e+01,
819,1.64e+01,
820,1.64e+01,
821,1.64e+01,
822,1.66e+01,
823,1.66e+01,
824,1.66e+01,
825,1.66e+01,
826,1.66e+01,
827,1.66e+01,
828,1.66e+01,
829,1.66e+01,
830,1.68e+01,
831,1.68e+01,
832,1.70e+01,
833,1.70e+01,
834,1.68e+01,
835,1.68e+01,
836,1.66e+01,
837,1.66e+01,
838,1.64e+01,
839,1.64e+01,
840,1.66e+01,
841,1.66e+01,
842,1.62e+01,
843,1.62e+01,
844,1.62e+01,
845,1.62e+01,
846,1.58e+01,
847,1.58e+01,
848,1.60e+01,
849,1.60e+01,
850,1.66e+01,
851,1.66e+01,
852,1.64e+01,
853,1.64e+01,
854,1.66e+01,
855,1.66e+01,
856,1.66e+01,
857,1.66e+01,
858,1.64e+01,
859,1.64e+01,
860,1.64e+01,
861,1.64e+01,
862,1.48e+01,
863,1.48e+01,
864,1.48e+01,
865,1.48e+01,
866,1.66e+01,
867,1.66e+01,
868,1.68e+01,
869,1.68e+01,
870,1.68e+01,
871,1.68e+01,
872,1.66e+01,
873,1.66e+01,
874,1.66e+01,
875,1.66e+01,
876,1.66e+01,
877,1.66e+01,
878,1.66e+01,
879,1.66e+01,
880,1.66e+01,
881,1.66e+01,
882,1.66e+01,
883,1.66e+01,
884,1.66e+01,
885,1.66e+01,
886,1.68e+01,
887,1.68e+01,
888,1.68e+01,
889,1.68e+01,
890,1.66e+01,
891,1.66e+01,
892,1.66e+01,
893,1.66e+01,
894,1.66e+01,
895,1.66e+01,
896,1.68e+01,
897,1.68e+01,
898,1.66e+01,
899,1.66e+01,
900,1.64e+01,
901,1.64e+01,
902,1.56e+01,
903,1.56e+01,
904,1.56e+01,
905,1.56e+01,
906,1.54e+01,
907,1.54e+01,
908,1.54e+01,
909,1.54e+01,
910,1.58e+01,
911,1.58e+01,
912,1.58e+01,
913,1.58e+01,
914,1.68e+01,
915,1.68e+01,
916,1.66e+01,
917,1.66e+01,
918,1.68e+01,
919,1.68e+01,
920,1.68e+01,
921,1.68e+01,
922,1.68e+01,
923,1.68e+01,
924,1.66e+01,
925,1.66e+01,
926,1.68e+01,
927,1.68e+01,
928,1.68e+01,
929,1.68e+01,
930,1.68e+01,
931,1.68e+01,
932,1.68e+01,
933,1.68e+01,
934,1.64e+01,
935,1.64e+01,
936,1.64e+01,
937,1.64e+01,
938,1.68e+01,
939,1.68e+01,
940,1.68e+01,
941,1.68e+01,
942,1.66e+01,
943,1.66e+01,
944,1.66e+01,
945,1.66e+01,
946,1.66e+01,
947,1.66e+01,
948,1.66e+01,
949,1.66e+01,
950,1.68e+01,
951,1.68e+01,
952,1.68e+01,
953,1.68e+01,
954,1.68e+01,
955,1.68e+01,
956,1.68e+01,
957,1.68e+01,
958,1.68e+01,
959,1.68e+01,
960,1.66e+01,
961,1.66e+01,
962,1.68e+01,
963,1.68e+01,
964,1.70e+01,
965,1.70e+01,
966,1.64e+01,
967,1.64e+01,
968,1.64e+01,
969,1.64e+01,
970,1.64e+01,
971,1.64e+01,
972,1.64e+01,
973,1.64e+01,
974,1.58e+01,
975,1.58e+01,
976,1.58e+01,
977,1.58e+01,
978,1.68e+01,
979,1.68e+01,
980,1.68e+01,
981,1.68e+01,
982,1.68e+01,
983,1.68e+01,
984,1.68e+01,
985,1.68e+01,
986,1.50e+01,
987,1.50e+01,
988,1.50e+01,
989,1.50e+01,
990,1.64e+01,
991,1.64e+01,
992,1.64e+01,
993,1.64e+01,
994,1.66e+01,
995,1.66e+01,
996,1.68e+01,
997,1.68e+01,
998,1.66e+01,
999,1.66e+01,
1000,1.66e+01,
1001,1.66e+01,
1002,1.66e+01,
1003,1.66e+01,
1004,1.66e+01,
1005,1.66e+01,
1006,1.66e+01,
1007,1.66e+01,
1008,1.66e+01,
1009,1.66e+01,
1010,1.62e+01,
1011,1.62e+01,
1012,1.62e+01,
1013,1.62e+01,
1014,1.60e+01,
1015,1.60e+01,
1016,1.60e+01,
1017,1.60e+01,
1018,1.56e+01,
1019,1.56e+01,
1020,1.56e+01,
1021,1.56e+01,
1022,1.54e+01,
1023,1.54e+01,
1024,1.54e+01,
1025,1.54e+01,
1026,1.58e+01,
1027,1.58e+01,
1028,1.58e+01,
1029,1.58e+01,
1030,1.68e+01,
1031,1.68e+01,
1032,1.68e+01,
1033,1.68e+01,
1034,1.68e+01,
1035,1.68e+01,
1036,1.68e+01,
1037,1.68e+01,
1038,1.68e+01,
1039,1.68e+01,
1040,1.68e+01,
1041,1.68e+01,
1042,1.68e+01,
1043,1.68e+01,
1044,1.68e+01,
1045,1.68e+01,
1046,1.68e+01,
1047,1.68e+01,
1048,1.68e+01,
1049,1.68e+01,
1050,1.66e+01,
1051,1.66e+01,
1052,1.66e+01,
1053,1.66e+01,
1054,1.70e+01,
1055,1.70e+01,
1056,1.68e+01,
1057,1.68e+01,
1058,1.66e+01,
1059,1.66e+01,
1060,1.66e+01,
1061,1.66e+01,
1062,1.70e+01,
1063,1.70e+01,
1064,1.68e+01,
1065,1.68e+01,
1066,1.68e+01,
1067,1.68e+01,
1068,1.68e+01,
1069,1.68e+01,
1070,1.66e+01,
1071,1.66e+01,
1072,1.66e+01,
1073,1.66e+01,
1074,1.68e+01,
1075,1.68e+01,
1076,1.68e+01,
1077,1.68e+01,
1078,1.66e+01,
1079,1.66e+01,
1080,1.66e+01,
1081,1.66e+01,
1082,1.64e+01,
1083,1.64e+01,
1084,1.64e+01,
1085,1.64e+01,
1086,1.58e+01,
1087,1.58e+01,
1088,1.58e+01,
1089,1.58e+01,
1090,1.66e+01,
1091,1.66e+01,
1092,1.66e+01,
1093,1.66e+01,
1094,1.68e+01,
1095,1.68e+01,
1096,1.68e+01,
1097,1.68e+01,
1098,1.62e+01,
1099,1.62e+01,
1100,1.62e+01,
1101,1.62e+01,
1102,1.52e+01,
1103,1.52e+01,
